ms_ezor,x_0,x_1001,x_1002,x_1003,x_1004,x_1005,x_1006,x_1007,x_1008,x_1009,x_1010,x_1011,
111,0,0.495127508,0.001688137,0.000408067,0,0.069520715,0.076487433,0,0.356768151,0,0,0,1.000000012
112,0,0.363962917,0.018261373,0,0,0.124802,0.248551252,0,0.233981088,0,0,0.010441382,1.000000012
113,0,0.374834364,0.069001325,0.003261869,0,0.097044473,0.179578589,0,0.238191446,0,0.038089554,0,1.00000162
114,0,0.437094691,0.001785642,0,0,0.087931389,0.190958678,0,0.218732867,0,0.063496745,0,1.000000012
115,0,1.70E-05,0,0.000455101,0,0.498951379,0.118308715,0,0.266175795,0.03507101,0.081021003,0,1.000000012
116,5.31E-05,0.00145159,0,0.001073006,0,0.002426286,0.837027031,0,0.125316237,0.021358,0.00894892,0,0.997654148
121,0.319838864,0.254670704,0.041164801,0,0,0.05455234,0.104995606,0,0.169554343,0,0.05522334,0,0.999999997
122,0.345330321,0.292420895,0.044448295,0,0,0.106328128,0.08287417,0,0.121246068,0,0,0.007352135,1.000000012
123,0,0.523949067,0.003130793,0,0,0.095535999,0.139562322,0,0.232130434,0,0.005691372,0,0.999999987
124,0,0.438709258,0.040391023,0,0,0.122811325,0.128367369,0,0.264248516,0.00547253,0,0,1.00000002
125,0,0.519311063,0,0,0,0.107397737,0.02780503,0,0.345265544,0,0.000220597,0,0.999999971
211,0.003311067,0.467900073,0.015882285,0,0,0.092383301,0.145625664,0,0.263761822,0,0,0.011135489,0.999999703
212,0,0.466409832,0.019014014,0,0,0.119240084,0.079880211,0,0.315455373,0,0,0,0.999999514
213,0,0.549874271,0,0,0,0.054140245,0.080161511,0,0.312935585,0,0.002888348,0,0.99999996
214,0,0.381902868,0.02823656,0,0,0.109134891,0.287973653,0,0.192752039,0,0,0,1.000000012
221,0,0.52581738,0.00967351,0,0,0.070849764,0.065365715,0,0.323321894,0,0.004972147,0,1.000000409
222,0,0.396757514,0,0.041171356,0,0.222509436,0.095822572,0,0.233440444,0,0.005945052,0.004353914,1.000000287
223,0,0.526810602,0.012518371,0,0,0.082922502,0.138344087,0,0.239404431,0,0,0,0.999999993
224,0,0.19060376,0.0087198,0,0,0.024998355,0.522929378,0,0.240795399,0.010219323,0.001733998,0,1.000000012
311,0.000597969,0,0.101468738,0,0,0,0.057661445,0,0.269934009,0.260171636,0.224469542,0,0.914303338
312,0.013501378,0.269708472,0.208769054,0,0.037019285,0.035018684,0.114703435,0,0.304682782,0,0.016596945,0,1.000000035
313,0,0.323591504,0.164266292,0,0,0.025065087,0.2882915,0,0.198785629,0,0,0,1.000000012
314,0,0.478378286,0.005779692,0,0,0.031417925,0.213391815,0,0.230881322,0,0,0.040150982,1.000000023
315,0,0.498075621,0.0877209,0,0,0.026098108,0.050577642,0,0.288898466,0,0,0.048629275,1.000000012
316,0,0.531770296,0.107479434,0,0,0.042298054,0.059895341,0,0.258556886,0,0,0,1.000000012
317,0,0.336366342,0.209627108,0,0.016670228,0.117841931,0.035992142,0,0.267433437,0,0.016068824,0,1.000000012
321,0,0.414503549,0.186391769,0,0.007143319,0.031398954,0.042161084,0,0.281930064,0,0,0.036471274,1.000000012
322,0,0.528341386,0.105951314,0,0,0.03781739,0.017609537,0,0.245157764,0,0,0.065122621,1.000000012
323,0,0.558132696,0,0,0,0.017936079,0.062192997,0,0.260269021,0,0,0.101469219,1.000000012
324,0,0.365761191,0,0,0,0.077702554,0.109560757,0,0.278011259,0,0.09354786,0.075416391,1.000000012
325,0,0.570253486,0.041547538,0,0,0.058570563,0.041745154,0,0.237283586,0,0.000180252,0.050419432,1.000000012
326,0,0.425102382,0.16896883,0,0,0.045897674,0.046201231,0,0.254530163,0,0,0.059299731,1.000000012
411,1.60E-09,0.283143214,0,0,0,0.055365076,0.31650765,0,0.306450574,0.034787442,0.003745339,0,0.999999296
412,0.024999851,0.356079873,0.011696898,0.011349795,0,0.077935328,0.130750264,0.007796756,0.336102141,0,0.043289057,0,0.999999963
421,0,0.463554855,0,0,0,0.082913728,0.173016245,0,0.276803967,0,0,0.003711217,1.000000012
422,0,0.443300088,0,0,0,0.043497307,0.300693521,0,0.212509095,0,0,0,1.000000012
423,0,0.602871272,0,0.000556576,0,0.0661582,0.035752339,0,0.279182807,0,0.009304257,0.00617456,1.000000012
511,0.155472646,0.161116145,0.083120662,0.002939059,0.044975576,0,0.227422775,0,0.234805903,0,0.090146489,0,0.999999255
512,0,0.542821273,0.049631747,0.000623132,0,0.017006226,0.009620411,0.1118472,0.239559186,0,0.028890835,0,1.000000012
513,0,0.46529545,0.150199345,0,0.006044532,0,0.020951151,0,0.308204708,0,0,0.049304825,1.000000012
514,0,0.521058254,0,0,0,0.06987512,0.197998163,0,0.211068475,0,0,0,1.000000011
515,0,0.723767673,0,0,0,0.019982031,0.011530952,0,0.244719357,0,0,0,1.000000012
516,0,0.711034969,0.001543861,0,0,0.062931994,0.019297415,0,0.205191742,0,0,0,0.999999981
517,0,0.569173914,0.010712723,0,0,0.04389809,0.063732245,0,0.312483039,0,0,0,1.000000012
521,0.024379159,0.347801437,0.020057195,0.000814191,0.035992794,0.019358685,0.176802378,0,0.249911998,0.12108607,0.003796102,0,1.00000001
522,0.027933559,0.354648236,0,0,0.133802209,0,0.200255217,0,0.247620815,0.035740189,0,0,1.000000226
523,0,0.370397738,0.027559148,0.033215899,0.085822919,0.160334069,0.005842977,0,0.311853617,0,0,0.004973789,1.000000156
531,0.081670673,0,0,0.066712047,0.076018465,0.026143613,0.347718172,0,0.158839719,0.222971843,0.011778759,0,0.99185329
532,0,0.200854834,0,0.000608119,0.00196659,0.050584417,0.009351721,0,0.187189367,0.549444685,0,0,0.999999733
533,0,0.381193628,0.007216545,0.007735983,0.025773491,0.100088097,0.017800282,0,0.284297838,0.137177596,0,0.038716546,1.000000007
541,0,0.069093173,0.02299939,0.002713939,0.012018132,0.047692204,0,0,0.182450582,0.639891563,0.016372056,0.006768933,0.999999972
542,0,0.455205233,0.178918287,0.008435847,0.018252026,0.049948727,0.016609886,0,0.225738086,0,0.046891919,0,1.000000012
543,0,0.674499736,0,0,0,0.120997056,0,0,0.20450322,0,0,0,1.000000012
551,0,0.007357354,0.069522014,0.122035621,0.008115173,0.025409672,0.040044802,0,0.259795892,0.391646668,0.045745665,0.030327149,1.000000012
552,0,0.089909128,0.26845591,0.16097255,0.00946604,0.022334143,0.044493193,0,0.340624699,0,0.051815893,0.011928435,0.999999992
553,0,0.671522727,0,0,0.031418696,0.084726831,0,0,0.212331757,0,0,0,1.000000012
554,0,0.585174621,0.049820371,0,0.00705279,0,0.07267994,0,0.255644652,0,0.029627587,0,0.999999961
611,0,0.30913288,0.120024011,0.04612151,0,0.147836231,0.009211525,0,0.334230681,0,0.033443174,0,1.000000012
612,0,0.146787316,0.018751368,0.220939586,0,0.172002529,0.045719518,0,0.303562799,0,0.0713986,0.020838366,1.000000082
613,0,0,0.010103853,0.160207304,0.010592579,0.022504947,0.091741963,0,0.2691201,0,0.435729235,0,0.999999981
621,0,0,0,0.376074171,0,0,0.05197522,0,0.358474929,0,0.18868256,0.024793182,1.000000061
622,0,0.02657993,0.073608592,0.055485119,0.003935609,0.078503439,0.050409767,0,0.309715468,0.120041382,0.125587477,0.156133101,0.999999884
623,0,0,0.020865659,0.468091673,0.009448277,0.039650676,0.018887804,0,0.314450614,0.053679566,0.074923667,0,0.999997936
624,0,0,0.015310229,0.388216626,0,0.05573548,0.121140922,0,0.353844633,0.024945056,0.011340037,0.029467155,1.000000138
625,0,0,0,0.285803348,0,0,0.033639617,0,0.367428954,0.167052202,0.14607589,0,1.000000012
711,0,0.351263068,0.024022995,0.006897436,0.004202383,0.049239405,0.123198773,0,0.353088901,1.07E-05,0.039358596,0.020776912,0.972059141
